

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 15:25:47 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 15:28:12,3.112,0.841,96.047,0,0,0,0,1480699904,14028386304,35758080,791105536,0,0,
29-11 15:28:13,1.844,0.838,97.318,0,0,0,14286848,1480658944,14028255232,35766272,791109632,0,0,
29-11 15:28:14,2.008,0.837,97.155,0,0,0,0,1480613888,14028025856,35766272,791109632,0,0,
29-11 15:28:15,1.691,0.592,97.633,0.085,0,0,114688,1476714496,14031765504,35766272,791109632,0,0,
29-11 15:28:16,3.670,0.751,95.496,0.083,0,0,163840,1477443584,14030753792,35774464,791101440,0,0,
29-11 15:28:17,3.623,1.011,95.366,0,0,0,172032,1480286208,14027726848,35774464,791113728,0,0,
29-11 15:28:18,1.518,0.590,97.808,0.084,0,0,0,1480527872,14027198464,35774464,791113728,0,0,
29-11 15:28:19,4.027,0.839,95.134,0,0,0,131072,1480155136,14027194368,35782656,791117824,0,0,
29-11 15:28:20,3.535,1.010,95.370,0.084,0,0,65536,1480105984,14026997760,35790848,791109632,0,0,
29-11 15:28:21,5.951,1.341,92.624,0.084,0,0,270336,1480269824,14026444800,35807232,791126016,0,0,
29-11 15:28:22,2.596,0.921,96.482,0,0,0,106496,1480220672,14026215424,35807232,791126016,0,0,
29-11 15:28:23,2.437,0.336,97.143,0.084,0,0,90112,1480187904,14026084352,35807232,791126016,0,0,
29-11 15:28:24,1.762,0.671,97.567,0,0,0,0,1480413184,14025695232,35807232,791126016,0,0,
29-11 15:28:25,1.515,0.505,97.896,0.084,0,0,122880,1479073792,14026821632,35815424,791130112,0,0,
29-11 15:28:26,1.338,0.669,97.910,0.084,0,0,73728,1479073792,14026821632,35815424,791130112,0,0,
29-11 15:28:27,1.857,0.591,97.553,0,0,0,278528,1480175616,14025539584,35823616,791134208,0,0,
29-11 15:28:28,0.671,0.419,98.910,0,0,0,13598720,1480261632,14025375744,35823616,791134208,0,0,
29-11 15:28:29,0.587,0.587,98.743,0.084,0,0,131072,1480249344,14025375744,35831808,791138304,0,0,
29-11 15:28:30,1.753,0.584,97.663,0,0,0,0,1480540160,14025084928,35831808,791138304,0,0,
29-11 15:28:31,1.844,0.838,97.234,0.084,0,0,245760,1480716288,14024695808,35840000,791138304,0,0,
29-11 15:28:32,1.931,0.672,97.397,0,0,0,57344,1481216000,14024065024,35840000,791138304,0,0,
29-11 15:28:33,3.930,0.920,95.067,0.084,0,0,163840,1481154560,14023802880,35848192,791142400,0,0,
29-11 15:28:34,4.010,1.253,94.737,0,0,0,0,1481101312,14023573504,35848192,791142400,0,0,
