

"Host:","peer32",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer32.dstat.csv",,,,"Date:","17 Nov 2022 13:56:22 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:58:20,2.003,0.835,97.162,0,0,0,0,793452544,12413186048,599945216,2381189120,0,0,
17-11 13:58:21,2.196,0.845,96.791,0.169,0,0,303104,793448448,12413186048,599945216,2381193216,0,0,
17-11 13:58:22,2.337,1.002,96.661,0,0,0,0,795770880,12410863616,599945216,2381193216,0,0,
17-11 13:58:23,14.310,3.407,82.112,0.170,0,0,65536,795762688,12410863616,599953408,2381193216,0,0,
17-11 13:58:24,2.504,1.169,96.160,0.167,0,0,65536,795762688,12410863616,599953408,2381193216,0,0,
17-11 13:58:25,11.785,2.357,85.859,0,0,0,0,795762688,12410863616,599953408,2381193216,0,0,
17-11 13:58:26,9.136,2.658,88.040,0.166,0,0,90112,795758592,12410863616,599957504,2381193216,0,0,
17-11 13:58:27,1.347,0.842,97.811,0,0,0,16384,796798976,12409823232,599957504,2381193216,0,0,
17-11 13:58:28,5.351,1.505,93.144,0,0,0,24576,793178112,12413444096,599957504,2381193216,0,0,
17-11 13:58:29,1.338,0.502,98.161,0,0,0,0,793178112,12413444096,599957504,2381193216,0,0,
17-11 13:58:30,24.567,5.190,70.242,0,0,0,0,793444352,12413177856,599957504,2381193216,0,0,
17-11 13:58:31,37.943,6.577,55.481,0,0,0,0,793436160,12413186048,599957504,2381193216,0,0,
17-11 13:58:32,27.097,6.290,66.452,0.161,0,0,65536,794468352,12412153856,599957504,2381193216,0,0,
17-11 13:58:33,2.010,1.173,96.817,0,0,0,0,794791936,12411830272,599957504,2381193216,0,0,
17-11 13:58:34,5.333,1.833,92.667,0.167,0,0,106496,794718208,12411895808,599965696,2381193216,0,0,
17-11 13:58:35,1.005,0.670,98.325,0,0,0,0,794718208,12411895808,599965696,2381193216,0,0,
17-11 13:58:36,10.438,2.525,87.037,0,0,0,0,794714112,12411895808,599965696,2381197312,0,0,
17-11 13:58:37,11.755,2.980,85.099,0.166,0,0,147456,795746304,12410855424,599973888,2381197312,0,0,
17-11 13:58:38,1.510,0.671,97.819,0,0,0,0,793374720,12413227008,599973888,2381197312,0,0,
17-11 13:58:39,7.873,2.848,89.280,0,0,0,49152,793149440,12413444096,599973888,2381205504,0,0,
17-11 13:58:40,1.678,0.503,97.819,0,0,0,0,793415680,12413177856,599973888,2381205504,0,0,
17-11 13:58:41,16.638,3.640,79.723,0,0,0,0,793407488,12413186048,599973888,2381205504,0,0,
17-11 13:58:42,33.105,8.576,58.148,0.172,0,0,57344,793665536,12412928000,599977984,2381201408,0,0,
17-11 13:58:43,5.814,1.827,92.193,0.166,0,0,98304,793661440,12412928000,599977984,2381205504,0,0,
17-11 13:58:44,1.855,0.337,97.808,0,0,0,8192,793911296,12412669952,599977984,2381213696,0,0,
17-11 13:58:45,11.258,3.808,84.934,0,0,0,0,794169344,12412411904,599977984,2381213696,0,0,
17-11 13:58:46,1.505,0.669,97.826,0,0,0,0,794161152,12412411904,599977984,2381221888,0,0,
17-11 13:58:47,17.568,4.223,78.209,0,0,0,16384,795967488,12410597376,599977984,2381230080,0,0,
17-11 13:58:48,2.349,1.342,96.141,0.168,0,0,65536,793636864,12412928000,599977984,2381230080,0,0,
17-11 13:58:49,3.541,0.506,95.784,0.169,0,0,147456,793628672,12412928000,599986176,2381230080,0,0,
17-11 13:58:50,28.643,7.203,64.154,0,0,0,0,793628672,12412928000,599986176,2381230080,0,0,
17-11 13:58:51,0.846,0.338,98.816,0,0,0,0,793624576,12412928000,599986176,2381234176,0,0,
17-11 13:58:52,5.008,2.003,92.988,0,0,0,57344,793874432,12412669952,599986176,2381242368,0,0,
17-11 13:58:53,3.987,0.831,95.017,0.166,0,0,65536,793874432,12412669952,599986176,2381242368,0,0,
17-11 13:58:54,1.500,0.833,97.500,0.167,0,0,106496,794132480,12412411904,599986176,2381242368,0,0,
