

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-32k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 15:53:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 15:55:52,25.316,5.907,68.776,0,0,0,221184,1585782784,13735604224,11427840,1031282688,0,0,
17-11 15:55:53,25.337,6.145,68.434,0.084,0,32768,106496,1585786880,13735596032,11444224,1031270400,0,0,
17-11 15:55:54,26.294,5.760,67.947,0,0,8192,172032,1585762304,13735587840,11456512,1031274496,0,0,
17-11 15:55:55,25.405,5.712,68.798,0.085,0,458752,8192,1584713728,13736611840,11476992,1031278592,0,0,
17-11 15:55:56,25.444,6.171,68.301,0.085,0,0,147456,1586962432,13734146048,11476992,1031495680,0,0,
17-11 15:55:57,25.904,6.056,68.040,0,0,0,131072,1586860032,13734248448,11485184,1031487488,0,0,
17-11 15:55:58,24.424,5.807,69.769,0,0,0,557056,1586778112,13734297600,11485184,1031499776,0,0,
17-11 15:55:59,25.021,5.191,69.787,0,0,0,0,1586503680,13734572032,11485184,1031499776,0,0,
17-11 15:56:00,24.426,5.787,69.702,0.085,0,0,262144,1586503680,13734572032,11493376,1031491584,0,0,
17-11 15:56:01,24.658,5.308,70.034,0,0,0,163840,1586733056,13734322176,11501568,1031503872,0,0,
17-11 15:56:02,25.647,5.931,68.338,0.084,0,0,212992,1586483200,13734572032,11509760,1031495680,0,0,
17-11 15:56:03,24.979,6.119,68.902,0,0,0,57344,1586470912,13734572032,11509760,1031507968,0,0,
17-11 15:56:04,24.237,6.186,69.492,0.085,0,8192,409600,1586454528,13734572032,11526144,1031507968,0,0,
17-11 15:56:05,24.194,6.537,69.270,0,0,204800,0,1582526464,13738479616,11526144,1031524352,0,0,
17-11 15:56:06,25.149,5.523,69.244,0.085,0,32768,221184,1583144960,13737742336,11550720,1031618560,0,0,
17-11 15:56:07,25.695,5.476,68.745,0.084,0,0,49152,1582546944,13738328064,11550720,1031630848,0,0,
17-11 15:56:08,25.568,5.551,68.881,0,0,8192,196608,1582481408,13738393600,11558912,1031622656,0,0,
17-11 15:56:09,24.852,5.344,69.805,0,0,0,122880,1582714880,13738127360,11558912,1031655424,0,0,
17-11 15:56:10,24.723,5.371,69.821,0.085,0,0,286720,1582972928,13737861120,11575296,1031647232,0,0,
17-11 15:56:11,25.442,5.392,69.082,0.084,0,73728,106496,1582923776,13737877504,11612160,1031643136,0,0,
17-11 15:56:12,25.632,5.312,69.056,0,0,0,114688,1582948352,13737828352,11612160,1031667712,0,0,
17-11 15:56:13,24.809,5.183,69.924,0.085,0,8192,106496,1582948352,13737828352,11612160,1031667712,0,0,
17-11 15:56:14,24.767,5.852,69.381,0,0,0,196608,1582891008,13737861120,11620352,1031684096,0,0,
17-11 15:56:15,25.693,5.877,68.430,0,0,262144,57344,1580441600,13740171264,11620352,1031823360,0,0,
17-11 15:56:16,24.384,6.117,69.414,0.085,0,8192,253952,1585041408,13735579648,11628544,1031806976,0,0,
17-11 15:56:17,24.485,5.326,70.103,0.086,0,0,49152,1584062464,13736529920,11628544,1031831552,0,0,
17-11 15:56:18,25.105,6.129,68.766,0,0,0,139264,1584312320,13736271872,11628544,1031831552,0,0,
17-11 15:56:19,25.169,5.574,69.257,0,0,0,98304,1584328704,13736247296,11636736,1031831552,0,0,
17-11 15:56:20,26.329,5.482,68.189,0,0,8192,335872,1584295936,13736263680,11657216,1031827456,0,0,
17-11 15:56:21,24.173,6.107,69.635,0.085,0,8192,139264,1584283648,13736263680,11661312,1031835648,0,0,
17-11 15:56:22,24.047,6.351,69.602,0,0,0,172032,1584283648,13736263680,11669504,1031827456,0,0,
17-11 15:56:23,24.914,4.966,70.120,0,0,0,65536,1584271360,13736263680,11669504,1031839744,0,0,
17-11 15:56:24,24.936,5.191,69.787,0.085,0,0,188416,1584271360,13736263680,11677696,1031831552,0,0,
17-11 15:56:25,25.820,5.635,68.545,0,0,122880,0,1581592576,13738921984,11677696,1031852032,0,0,
17-11 15:56:26,24.535,6.430,68.951,0.085,0,0,114688,1582616576,13737836544,11677696,1031913472,0,0,
17-11 15:56:27,24.511,5.787,69.617,0.085,0,0,221184,1582661632,13737779200,11694080,1031909376,0,0,
17-11 15:56:28,25.484,5.803,68.713,0,0,0,139264,1582604288,13737820160,11694080,1031921664,0,0,
17-11 15:56:29,24.091,6.509,69.400,0,0,0,24576,1582620672,13737795584,11694080,1031929856,0,0,
17-11 15:56:30,24.427,6.107,69.466,0,0,0,286720,1582587904,13737820160,11710464,1031921664,0,0,
17-11 15:56:31,24.573,5.631,69.710,0.085,0,0,98304,1584402432,13735981056,11710464,1031942144,0,0,
17-11 15:56:32,24.338,5.636,70.026,0,0,0,114688,1584369664,13736013824,11710464,1031942144,0,0,
17-11 15:56:33,25.106,5.664,69.146,0.085,0,0,163840,1584271360,13736112128,11718656,1031933952,0,0,
17-11 15:56:34,25.611,5.139,69.250,0,0,0,196608,1584250880,13736112128,11726848,1031946240,0,0,
17-11 15:56:35,24.211,6.479,69.309,0,0,155648,0,1581416448,13738946560,11726848,1031950336,0,0,
17-11 15:56:36,24.170,6.213,69.532,0.085,0,0,253952,1583128576,13737152512,11735040,1032015872,0,0,
17-11 15:56:37,25.021,6.213,68.682,0.084,0,0,49152,1582739456,13737529344,11735040,1032028160,0,0,
17-11 15:56:38,25.042,5.518,69.440,0,0,0,196608,1583255552,13736996864,11743232,1032019968,0,0,
17-11 15:56:39,23.797,5.584,70.619,0,0,0,122880,1583259648,13736980480,11743232,1032032256,0,0,
17-11 15:56:40,25.021,5.447,69.447,0.085,0,0,180224,1583243264,13736996864,11751424,1032024064,0,0,
17-11 15:56:41,24.916,5.828,69.257,0,0,0,172032,1583493120,13736738816,11759616,1032024064,0,0,
17-11 15:56:42,25.359,5.241,69.400,0,0,0,196608,1583513600,13736706048,11767808,1032028160,0,0,
17-11 15:56:43,24.766,5.277,69.872,0.085,0,0,106496,1583525888,13736681472,11767808,1032040448,0,0,
17-11 15:56:44,23.736,5.998,70.266,0,0,0,172032,1583771648,13736431616,11776000,1032036352,0,0,
17-11 15:56:45,25.042,5.922,68.951,0.085,0,131072,0,1581805568,13738315776,11776000,1032118272,0,0,
17-11 15:56:46,25.321,4.962,69.632,0.086,0,0,106496,1585758208,13734359040,11776000,1032126464,0,0,
17-11 15:56:47,25.404,5.353,69.244,0,0,0,155648,1585999872,13734109184,11784192,1032122368,0,0,
17-11 15:56:48,25.484,5.467,69.050,0,0,0,188416,1585905664,13734174720,11784192,1032134656,0,0,
17-11 15:56:49,26.228,5.162,68.609,0,0,0,0,1585897472,13734182912,11784192,1032134656,0,0,
17-11 15:56:50,24.191,5.963,69.761,0.085,0,0,253952,1585901568,13734174720,11800576,1032122368,0,0,
17-11 15:56:51,24.894,5.523,69.499,0.085,0,0,65536,1585901568,13734158336,11800576,1032138752,0,0,
17-11 15:56:52,25.084,5.956,68.960,0,0,0,196608,1585901568,13734158336,11808768,1032130560,0,0,
17-11 15:56:53,25.861,5.374,68.766,0,0,0,114688,1586929664,13733117952,11808768,1032142848,0,0,
17-11 15:56:54,23.595,6.303,70.017,0.085,0,0,172032,1586929664,13733117952,11816960,1032134656,0,0,
17-11 15:56:55,25.926,5.724,68.350,0,0,0,0,1583747072,13736275968,11816960,1032159232,0,0,
17-11 15:56:56,24.765,5.807,69.428,0,0,0,114688,1586782208,13733249024,11816960,1032151040,0,0,
17-11 15:56:57,25.817,5.532,68.567,0.084,0,0,49152,1586905088,13733126144,11816960,1032151040,0,0,
17-11 15:56:58,24.165,5.827,70.009,0,0,0,253952,1586040832,13733982208,11825152,1032146944,0,0,
17-11 15:56:59,24.512,5.683,69.805,0,0,0,0,1586036736,13733974016,11825152,1032159232,0,0,
17-11 15:57:00,24.384,5.947,69.584,0.085,0,0,204800,1586319360,13733691392,11833344,1032151040,0,0,
17-11 15:57:01,24.384,5.777,69.754,0.085,0,0,204800,1586434048,13733568512,11841536,1032151040,0,0,
17-11 15:57:02,25.104,6.422,68.474,0,0,0,122880,1586438144,13733552128,11841536,1032163328,0,0,
17-11 15:57:03,25.063,6.140,68.713,0.084,0,0,57344,1586728960,13733261312,11841536,1032163328,0,0,
17-11 15:57:04,24.147,6.058,69.795,0,0,0,188416,1586954240,13733036032,11849728,1032155136,0,0,
17-11 15:57:05,24.832,6.963,68.121,0.084,0,0,65536,1582936064,13737033728,11853824,1032171520,0,0,
17-11 15:57:06,24.322,6.356,69.322,0,0,0,245760,1584742400,13735223296,11862016,1032163328,0,0,
17-11 15:57:07,24.471,6.097,69.433,0,0,0,0,1584324608,13735632896,11862016,1032175616,0,0,
17-11 15:57:08,25.232,5.654,68.945,0.169,0,0,147456,1584758784,13735182336,11862016,1032175616,0,0,
17-11 15:57:09,24.384,5.947,69.669,0,0,0,98304,1584738304,13735198720,11870208,1032171520,0,0,
17-11 15:57:10,23.769,6.621,69.525,0.085,0,0,196608,1584701440,13735215104,11878400,1032183808,0,0,
17-11 15:57:11,25.546,5.798,68.655,0,0,0,57344,1584726016,13735190528,11878400,1032183808,0,0,
17-11 15:57:12,24.361,5.792,69.847,0,0,0,245760,1584726016,13735190528,11886592,1032175616,0,0,
17-11 15:57:13,24.979,5.588,69.348,0.085,0,0,57344,1584738304,13735165952,11886592,1032187904,0,0,
17-11 15:57:14,24.281,6.261,69.374,0.085,0,0,188416,1584705536,13735190528,11894784,1032187904,0,0,
17-11 15:57:15,25.401,5.654,68.861,0.084,0,0,327680,1580998656,13738885120,11894784,1032200192,0,0,
17-11 15:57:16,26.401,5.857,67.742,0,0,425984,114688,1585369088,13734522880,11894784,1032192000,0,0,
17-11 15:57:17,24.388,6.414,69.198,0,0,0,0,1585102848,13734576128,11894784,1032404992,0,0,
17-11 15:57:18,26.733,5.693,67.492,0.083,0,0,335872,1585012736,13734649856,11902976,1032396800,0,0,
17-11 15:57:19,25.209,5.863,68.928,0,0,0,57344,1584967680,13734682624,11902976,1032409088,0,0,
17-11 15:57:20,25.211,5.481,69.224,0.084,0,0,393216,1584984064,13734666240,11919360,1032392704,0,0,
17-11 15:57:21,24.618,5.772,69.610,0,0,0,98304,1584963584,13734666240,11919360,1032413184,0,0,
17-11 15:57:22,23.830,6.298,69.872,0,0,0,229376,1584963584,13734666240,11927552,1032404992,0,0,
17-11 15:57:23,23.621,5.862,70.431,0.086,0,0,57344,1584934912,13734674432,11927552,1032425472,0,0,
17-11 15:57:24,23.675,6.068,70.256,0,0,0,122880,1584943104,13734666240,11927552,1032425472,0,0,
17-11 15:57:25,25.128,5.470,69.402,0,0,0,0,1581236224,13738373120,11927552,1032425472,0,0,
17-11 15:57:26,24.765,5.892,69.257,0.085,0,0,172032,1583538176,13736071168,11935744,1032417280,0,0,
17-11 15:57:27,25.611,5.392,68.997,0,0,0,0,1583656960,13735931904,11935744,1032437760,0,0,
17-11 15:57:28,24.274,5.641,70,0.085,0,0,245760,1583763456,13735825408,11943936,1032429568,0,0,
17-11 15:57:29,25.690,5.774,68.536,0,0,0,49152,1583759360,13735817216,11943936,1032441856,0,0,
17-11 15:57:30,24.895,6.287,68.734,0.084,0,0,180224,1583751168,13735825408,11952128,1032433664,0,0,
17-11 15:57:31,25.276,5.344,69.296,0.085,0,0,57344,1584001024,13735567360,11960320,1032433664,0,0,
17-11 15:57:32,24.248,5.245,70.507,0,0,0,270336,1583988736,13735567360,11968512,1032437760,0,0,
17-11 15:57:33,24.726,5.654,69.536,0.084,0,0,57344,1583955968,13735575552,11968512,1032462336,0,0,
17-11 15:57:34,25.507,5.236,69.257,0,0,0,229376,1583964160,13735567360,11976704,1032454144,0,0,
17-11 15:57:35,25.628,6.114,68.174,0.084,0,131072,0,1584156672,13735362560,11976704,1032466432,0,0,
17-11 15:57:36,24.788,6.430,68.782,0,0,0,163840,1586683904,13732769792,11984896,1032523776,0,0,
17-11 15:57:37,25.105,5.897,68.913,0.084,0,0,122880,1586745344,13732696064,11993088,1032527872,0,0,
17-11 15:57:38,25.695,5.392,68.829,0.084,0,0,188416,1586982912,13732421632,11993088,1032544256,0,0,
17-11 15:57:39,23.887,5.736,70.377,0,0,0,49152,1586982912,13732421632,11993088,1032544256,0,0,
17-11 15:57:40,23.891,6.229,69.795,0.085,0,0,253952,1586982912,13732421632,12009472,1032527872,0,0,
