

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-96k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 13:19:48 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:23:00,14.777,3.107,82.032,0.084,0,16384,13049856,1562247168,13774835712,11276288,1017315328,0,0,
17-11 13:23:01,2.172,0.668,97.160,0,0,0,262144,1562337280,13774737408,11284480,1017315328,0,0,
17-11 13:23:02,1.693,0.677,97.629,0,0,0,172032,1562324992,13774737408,11292672,1017319424,0,0,
17-11 13:23:03,1.590,0.586,97.741,0.084,0,0,212992,1562324992,13774737408,11292672,1017319424,0,0,
17-11 13:23:04,17.893,3.595,78.512,0,0,0,0,1562324992,13774737408,11292672,1017319424,0,0,
17-11 13:23:05,7.782,2.092,90.042,0.084,0,0,294912,1560498176,13776543744,11309056,1017323520,0,0,
17-11 13:23:06,1.171,1.003,97.826,0,0,0,0,1560965120,13776076800,11309056,1017319424,0,0,
17-11 13:23:07,4.954,1.595,93.367,0.084,0,0,172032,1561268224,13775761408,11317248,1017327616,0,0,
17-11 13:23:08,2.003,0.417,97.496,0.083,0,0,24576,1561231360,13775794176,11317248,1017331712,0,0,
17-11 13:23:09,20.339,4.576,75.085,0,0,0,212992,1561522176,13775503360,11317248,1017331712,0,0,
17-11 13:23:10,27.204,5.542,67.170,0.084,0,0,139264,1561518080,13775486976,11333632,1017335808,0,0,
17-11 13:23:11,1.092,0.504,98.405,0,0,0,147456,1561518080,13775486976,11333632,1017335808,0,0,
17-11 13:23:12,3.378,1.182,95.439,0,0,0,57344,1561493504,13775511552,11333632,1017335808,0,0,
17-11 13:23:13,1.257,0.754,97.821,0.168,0,0,253952,1561481216,13775511552,11341824,1017339904,0,0,
17-11 13:23:14,2.365,0.760,96.875,0,0,0,0,1561481216,13775511552,11341824,1017339904,0,0,
17-11 13:23:15,17.102,3.454,79.360,0.084,0,393216,180224,1558183936,13778599936,11350016,1017540608,0,0,
17-11 13:23:16,1.998,0.916,97.086,0,0,0,16384,1560477696,13776302080,11350016,1017540608,0,0,
17-11 13:23:17,10.093,2.860,86.964,0.084,0,0,114688,1559953408,13776826368,11350016,1017544704,0,0,
17-11 13:23:18,1.585,0.667,97.665,0.083,0,0,24576,1559953408,13776826368,11350016,1017544704,0,0,
17-11 13:23:19,4.933,1.505,93.478,0.084,0,0,253952,1560166400,13776601088,11358208,1017548800,0,0,
17-11 13:23:20,1.088,0.669,98.243,0,0,0,65536,1560158208,13776601088,11366400,1017548800,0,0,
17-11 13:23:21,2.773,0.756,96.387,0.084,0,0,507904,1560137728,13776601088,11382784,1017552896,0,0,
17-11 13:23:22,2.267,0.924,96.809,0,0,0,245760,1560342528,13776375808,11382784,1017552896,0,0,
17-11 13:23:23,1.252,0.835,97.830,0.083,0,0,278528,1560342528,13776375808,11390976,1017544704,0,0,
17-11 13:23:24,17.106,3.404,79.404,0.085,0,16384,12484608,1561051136,13775601664,11423744,1017561088,0,0,
17-11 13:23:25,1.844,0.671,97.402,0.084,0,131072,114688,1559396352,13777182720,11423744,1017634816,0,0,
17-11 13:23:26,3.682,1.506,94.812,0,0,0,0,1560879104,13775691776,11423744,1017643008,0,0,
17-11 13:23:27,0.924,0.840,98.237,0,0,0,327680,1560440832,13776117760,11431936,1017647104,0,0,
17-11 13:23:28,10.980,2.787,86.149,0.084,0,16384,24576,1560432640,13776125952,11431936,1017647104,0,0,
17-11 13:23:29,25.298,6.474,68.143,0.085,0,0,17055744,1559711744,13776633856,11481088,1017655296,0,0,
17-11 13:23:30,1.010,0.589,98.401,0,0,0,65536,1559711744,13776633856,11489280,1017647104,0,0,
17-11 13:23:31,5.448,1.676,92.791,0.084,0,0,155648,1559961600,13776375808,11489280,1017655296,0,0,
17-11 13:23:32,5.686,1.505,92.726,0.084,0,0,16990208,1560514560,13775585280,11538432,1017647104,0,0,
17-11 13:23:33,1.174,0.838,97.904,0.084,0,0,221184,1560502272,13775585280,11538432,1017659392,0,0,
17-11 13:23:34,25.175,5.070,69.755,0,0,0,0,1561829376,13774254080,11538432,1017663488,0,0,
17-11 13:23:35,3.840,1.336,94.741,0.083,0,0,294912,1558925312,13777133568,11554816,1017671680,0,0,
17-11 13:23:36,1.509,0.922,97.569,0,0,0,0,1558802432,13777256448,11554816,1017671680,0,0,
17-11 13:23:37,31.323,6.114,62.563,0,0,0,253952,1559957504,13776093184,11563008,1017671680,0,0,
17-11 13:23:38,4.778,1.341,93.797,0.084,0,0,24576,1559949312,13776093184,11563008,1017679872,0,0,
17-11 13:23:39,4.167,0.917,94.833,0.083,0,0,294912,1559961600,13776060416,11571200,1017692160,0,0,
