timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:08:09.045, 73 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:10.046, 77 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:11.048, 65 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:12.049, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:13.051, 69 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:14.053, 72 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:15.054, 73 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:16.055, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:17.057, 66 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:18.058, 68 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:19.059, 71 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:20.061, 70 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:21.063, 59 %, 45 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:22.065, 78 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:23.067, 74 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:24.068, 67 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:25.069, 34 %, 29 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:26.070, 78 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:27.073, 67 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:28.074, 76 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:29.075, 71 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:30.077, 70 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:31.079, 56 %, 44 %, 15360 MiB, 458 MiB, 14451 MiB
